uf,municipio,evento,data_referencia,vitima
PR,ANTÔNIO OLINTO,Feminicídio,1/8/2025,0
PR,ANTÔNIO OLINTO,Feminicídio,1/9/2025,0
PR,ANTÔNIO OLINTO,Feminicídio,1/10/2025,0
PR,ANTÔNIO OLINTO,Feminicídio,1/11/2025,0
PR,ANTÔNIO OLINTO,Feminicídio,1/12/2025,0
PR,ANTÔNIO OLINTO,Tentativa de feminicídio,1/1/2025,0
PR,ANTÔNIO OLINTO,Tentativa de feminicídio,1/2/2025,0
PR,ANTÔNIO OLINTO,Tentativa de feminicídio,1/3/2025,0
PR,ANTÔNIO OLINTO,Tentativa de feminicídio,1/4/2025,0
PR,ANTÔNIO OLINTO,Tentativa de feminicídio,1/5/2025,0
PR,ANTÔNIO OLINTO,Tentativa de feminicídio,1/6/2025,0
PR,ANTÔNIO OLINTO,Tentativa de feminicídio,1/7/2025,0
PR,ANTÔNIO OLINTO,Tentativa de feminicídio,1/8/2025,0
PR,ANTÔNIO OLINTO,Tentativa de feminicídio,1/9/2025,0
PR,ANTÔNIO OLINTO,Tentativa de feminicídio,1/10/2025,0
PR,ANTÔNIO OLINTO,Tentativa de feminicídio,1/11/2025,0
PR,ANTÔNIO OLINTO,Tentativa de feminicídio,1/12/2025,0
PR,APUCARANA,Feminicídio,1/1/2025,0
PR,APUCARANA,Feminicídio,1/2/2025,0
PR,APUCARANA,Feminicídio,1/3/2025,0
PR,APUCARANA,Feminicídio,1/4/2025,0
PR,APUCARANA,Feminicídio,1/5/2025,0
PR,APUCARANA,Feminicídio,1/6/2025,0
PR,APUCARANA,Feminicídio,1/7/2025,0
PR,APUCARANA,Feminicídio,1/8/2025,0
PR,APUCARANA,Feminicídio,1/9/2025,0
PR,APUCARANA,Feminicídio,1/10/2025,0
PR,APUCARANA,Feminicídio,1/11/2025,0
PR,APUCARANA,Feminicídio,1/12/2025,0
PR,APUCARANA,Tentativa de feminicídio,1/1/2025,2
PR,APUCARANA,Tentativa de feminicídio,1/2/2025,0
PR,APUCARANA,Tentativa de feminicídio,1/3/2025,1
PR,APUCARANA,Tentativa de feminicídio,1/4/2025,0
PR,APUCARANA,Tentativa de feminicídio,1/5/2025,0
PR,APUCARANA,Tentativa de feminicídio,1/6/2025,0
PR,APUCARANA,Tentativa de feminicídio,1/7/2025,0
PR,APUCARANA,Tentativa de feminicídio,1/8/2025,0
PR,APUCARANA,Tentativa de feminicídio,1/9/2025,1
PR,APUCARANA,Tentativa de feminicídio,1/10/2025,0
PR,APUCARANA,Tentativa de feminicídio,1/11/2025,0
PR,APUCARANA,Tentativa de feminicídio,1/12/2025,0
PR,ARAPONGAS,Feminicídio,1/1/2025,0
PR,ARAPONGAS,Feminicídio,1/2/2025,0
PR,ARAPONGAS,Feminicídio,1/3/2025,0
PR,ARAPONGAS,Feminicídio,1/4/2025,0
PR,ARAPONGAS,Feminicídio,1/5/2025,1
PR,ARAPONGAS,Feminicídio,1/6/2025,0
PR,ARAPONGAS,Feminicídio,1/7/2025,0
PR,ARAPONGAS,Feminicídio,1/8/2025,0
PR,ARAPONGAS,Feminicídio,1/9/2025,0
PR,ARAPONGAS,Feminicídio,1/10/2025,0
PR,ARAPONGAS,Feminicídio,1/11/2025,0
PR,ARAPONGAS,Feminicídio,1/12/2025,0
PR,ARAPONGAS,Tentativa de feminicídio,1/1/2025,2
PR,ARAPONGAS,Tentativa de feminicídio,1/2/2025,2
PR,ARAPONGAS,Tentativa de feminicídio,1/3/2025,0
PR,ARAPONGAS,Tentativa de feminicídio,1/4/2025,0
PR,ARAPONGAS,Tentativa de feminicídio,1/5/2025,0
PR,ARAPONGAS,Tentativa de feminicídio,1/6/2025,0
PR,ARAPONGAS,Tentativa de feminicídio,1/7/2025,0
PR,ARAPONGAS,Tentativa de feminicídio,1/8/2025,0
PR,ARAPONGAS,Tentativa de feminicídio,1/9/2025,0
PR,ARAPONGAS,Tentativa de feminicídio,1/10/2025,2
PR,ARAPONGAS,Tentativa de feminicídio,1/11/2025,0
